호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월,,
6,2613,불광(6),1168377,5509,167187,150098,173840,169075,173583,163273,171321,,
6,2614,독바위,623676,2940,90025,76089,91537,92277,94314,87962,91472,,
6,2616,구산,1715035,8078,240011,206669,253985,256426,262989,242104,252851,,
6,2617,새절,2963718,14026,398067,344060,443202,461023,467526,424831,425009,,
6,2618,증산,2258557,10663,315068,272240,334181,340992,347045,320556,328475,,
6,2619,디지털미디어시티(6),2825255,13295,409410,340528,413701,423623,428273,390795,418925,,
6,2620,월드컵경기장,1425610,6661,161302,142566,223937,199181,253537,225152,219935,,
6,2621,마포구청,3166065,14926,449693,384146,467757,473850,484053,442025,464541,,
6,2622,망원,3050365,14406,441296,376728,454202,447922,461896,425373,442948,,
6,2623,합정(6),3318767,15675,480282,414541,496257,479317,499590,467181,481599,,
6,2624,상수,2256520,10713,315855,273529,346534,333793,355113,314146,317550,,
6,2625,광흥창,2020409,9496,291516,243975,298496,306646,295726,282495,301555,,
6,2626,대흥,1936553,9180,259680,216092,295651,301516,312561,276097,274956,,
6,2627,공덕(6),3903872,18368,566963,471976,573199,588102,585731,538671,579230,,
6,2628,효창공원앞,1569052,7437,217659,184114,236130,243024,244979,220140,223006,,
6,2629,삼각지(6),1479624,7000,203091,173410,219126,219910,233186,218217,212684,,
6,2630,녹사평,1308922,6182,177511,157894,203363,189225,199788,191242,189899,,
6,2631,이태원,3406778,16197,485062,432383,519153,484233,514240,496584,475123,,
6,2632,한강진,1858398,8798,267026,224810,279243,274178,283175,264014,265952,,
6,2633,버티고개,524646,2485,73670,62605,78933,79650,81283,73601,74904,,
6,2634,약수(6),828217,3903,119899,99616,122787,124101,125679,114417,121718,,
6,2635,청구(6),806485,3789,114187,96926,118810,120114,122460,113309,120679,,
6,2636,신당(6),1910068,9064,274694,224605,292401,288899,291461,268589,269419,,
6,2637,동묘앞(6),2058095,9807,287334,264252,315390,303331,317067,287697,283024,,
6,2638,창신,796352,3770,108704,92099,120307,123859,124822,112495,114066,,
6,2639,보문,1647146,7771,229829,197781,246253,245144,255416,232206,240517,,
6,2640,안암,2901462,13905,355325,303700,494473,462958,492853,407527,384626,,
6,2641,고려대,2049501,9770,268343,227889,316511,323992,340813,290840,281113,,
6,2642,월곡,2731417,13020,377865,318176,425799,424443,432373,377897,374864,,
6,2643,상월곡,1409562,6675,190691,164477,211691,215038,224577,201661,201427,,
6,2644,돌곶이,1834161,8642,253382,214234,272501,278028,286819,259214,269983,,
6,2645,석계(6),2852328,13509,396591,341525,429214,430780,445680,401285,407253,,
6,2646,태릉입구(6),1237784,5871,167783,143343,181447,182369,213444,174223,175175,,
6,2647,화랑대,2768009,13124,373247,315273,420758,427824,447541,390718,392648,,
6,2648,봉화산,2176209,10264,310801,263339,319970,325611,333417,304669,318402,,
7,2711,장암,522370,2440,69584,58874,74040,78263,83574,77310,80725,,
7,2712,도봉산(7),2047509,9707,270778,231882,301185,319567,335249,298328,290520,,
